"Var.1"	"A-no_1"	"A-no_2"	"A-no_3"	"A_1"	"A_2"	"A_3"	"B-no_1"	"B-no_2"	"B-no_3"	"B_1"	"B_2"	"B_3"	"fis-no_1"	"fis-no_2"	"fis-no_3"	"fis_1"	"fis_2"	"fis_3"	"A-no_1"	"A-no_2"	"A-no_3"	"A_1"	"A_2"	"A_3"	"B-no_1"	"B-no_2"	"B-no_3"	"B_1"	"B_2"	"B_3"	"fis-no_1"	"fis-no_2"	"fis-no_3"	"fis_1"	"fis_2"	"fis_3"
"1"	"0"	NA	"39,0894819466248"	"40,4287901990812"	NA	"60,9105180533752"	"59,5712098009188"	NA	"39,0894819466248"	"40,4287901990812"	NA	"60,9105180533752"	"59,5712098009188"	NA	"39,0894819466248"	"40,4287901990812"	NA	"60,9105180533752"	"59,5712098009188"	NA	"91,8166939443535"	"93,1818181818182"	NA	"8,18330605564648"	"6,81818181818182"	NA	"91,8166939443535"	"93,1818181818182"	NA	"8,18330605564648"	"6,81818181818182"	NA	"91,8166939443535"	"93,1818181818182"	NA	"8,18330605564648"	"6,81818181818182"
"2"	"0,01"	NA	"48,8693467336683"	"44,782034346103"	NA	"51,1306532663317"	"55,217965653897"	NA	"46,3932107496464"	"46,975546975547"	NA	"53,6067892503536"	"53,024453024453"	NA	"45,4929577464789"	"45,4798331015299"	NA	"54,5070422535211"	"54,5201668984701"	NA	"90,3358868591632"	"91,9387075283145"	NA	"9,66411314083677"	"8,06129247168554"	NA	"90,6423034330011"	"91,5413533834586"	NA	"9,35769656699889"	"8,45864661654135"	NA	"91,2258064516129"	"92,1542553191489"	NA	"8,7741935483871"	"7,84574468085106"
"3"	"0,1"	NA	"46,5286236297199"	"42,1109902067465"	NA	"53,4713763702801"	"57,8890097932535"	NA	"48,3009708737864"	"44,1527446300716"	NA	"51,6990291262136"	"55,8472553699284"	NA	"45,4780361757106"	"40,7878017789072"	NA	"54,5219638242894"	"59,2121982210928"	NA	"88,8224745965332"	"89,8184176394293"	NA	"11,1775254034668"	"10,1815823605707"	NA	"90,3755868544601"	"91,4634146341463"	NA	"9,62441314553991"	"8,53658536585366"	NA	"91,2029676735559"	"91,9949968730457"	NA	"8,79703232644409"	"8,00500312695435"
"4"	"1"	NA	"48,9159891598916"	"45,9584295612009"	NA	"51,0840108401084"	"54,0415704387991"	NA	"45,5916473317865"	"42,7932960893855"	NA	"54,4083526682135"	"57,2067039106145"	NA	"48,1804949053857"	"40,6692406692407"	NA	"51,8195050946143"	"59,3307593307593"	NA	"88,058748403576"	"85,76"	NA	"11,941251596424"	"14,24"	NA	"87,8996865203762"	"88,7179487179487"	NA	"12,1003134796238"	"11,2820512820513"	NA	"90,7529055078322"	"92,8135593220339"	NA	"9,24709449216776"	"7,1864406779661"
"5"	"10"	NA	"46,0674157303371"	"45,5613577023499"	NA	"53,9325842696629"	"54,4386422976501"	NA	"73,8666666666667"	"89,8058252427184"	NA	"26,1333333333333"	"10,1941747572816"	NA	"47,0479704797048"	"42,3913043478261"	NA	"52,9520295202952"	"57,6086956521739"	NA	"69,53125"	"56,2666666666667"	NA	"30,46875"	"43,7333333333333"	NA	"77,1241830065359"	"74,6031746031746"	NA	"22,8758169934641"	"25,3968253968254"	NA	"90,7216494845361"	"91,7745620715918"	NA	"9,27835051546392"	"8,22543792840823"
