"Var.1"	"a_1"	"a_2"	"a_3"	"b_1"	"b_2"	"b_3"	"fis_1"	"fis_2"	"fis_3"	"a_1"	"a_2"	"a_3"	"b_1"	"b_2"	"b_3"	"fis_1"	"fis_2"	"fis_3"
"1"	"0"	1287	833	469	1287	833	469	1287	833	469	1610	1119	1363	1610	1119	1363	1610	1119	1363
"2"	"0,01"	1217	974	636	1055	1008	590	1381	938	465	1288	1139	1312	1029	1296	1273	1379	1140	1312
"3"	"0,1"	1096	1026	698	967	1149	630	1619	1058	601	1256	1239	1379	1107	1318	1315	1643	1271	1533
"4"	"1"	995	1004	677	1048	1081	622	1551	955	548	846	1097	1239	933	1068	1317	1546	1139	1579
"5"	"10"	861	813	467	511	469	214	1225	853	402	369	630	699	53	122	246	913	780	1310
