"Var.1"	"A-no_1"	"A-no_2"	"A-no_3"	"A_1"	"A_2"	"A_3"	"B-no_1"	"B-no_2"	"B-no_3"	"B_1"	"B_2"	"B_3"	"fis-no_1"	"fis-no_2"	"fis-no_3"	"fis_1"	"fis_2"	"fis_3"	"A-no_1"	"A-no_2"	"A-no_3"	"A_1"	"A_2"	"A_3"	"B-no_1"	"B-no_2"	"B-no_3"	"B_1"	"B_2"	"B_3"	"fis-no_1"	"fis-no_2"	"fis-no_3"	"fis_1"	"fis_2"	"fis_3"
"1"	"0"	NA	"6,59340659340659"	"4,74732006125574"	NA	"5,33751962323391"	"2,45022970903522"	NA	"6,59340659340659"	"4,74732006125574"	NA	"5,33751962323391"	"2,45022970903522"	NA	"6,59340659340659"	"4,74732006125574"	NA	"5,33751962323391"	"2,45022970903522"	NA	"62,5204582651391"	"71,1432506887052"	NA	"0,490998363338789"	"0,413223140495868"	NA	"62,5204582651391"	"71,1432506887052"	NA	"0,490998363338789"	"0,413223140495868"	NA	"62,5204582651391"	"71,1432506887052"	NA	"0,490998363338789"	"0,413223140495868"
"2"	"0,01"	NA	"8,41708542713568"	"5,54821664464993"	NA	"3,51758793969849"	"2,50990752972259"	NA	"7,35502121640735"	"7,20720720720721"	NA	"5,23338048090523"	"2,83140283140283"	NA	"7,32394366197183"	"5,84144645340751"	NA	"3,23943661971831"	"3,33796940194715"	NA	"57,2775486152033"	"66,1558960692871"	NA	"0,9428403064231"	"0,799467021985343"	NA	"58,0287929125138"	"65,6641604010025"	NA	"1,16279069767442"	"0,56390977443609"	NA	"58,1935483870968"	"66,6223404255319"	NA	"0,903225806451613"	"0,731382978723404"
"3"	"0,1"	NA	"8,16077953714982"	"5,33188248095756"	NA	"3,04506699147381"	"3,80848748639826"	NA	"5,33980582524272"	"6,08591885441527"	NA	"3,7621359223301"	"4,17661097852029"	NA	"6,84754521963824"	"4,32020330368488"	NA	"2,97157622739018"	"3,6848792884371"	NA	"52,3610280932457"	"59,3385214007782"	NA	"0,836820083682008"	"0,453955901426719"	NA	"52,8169014084507"	"62,6255380200861"	NA	"0,410798122065728"	"0,573888091822095"	NA	"57,1807101218866"	"65,3533458411507"	NA	"0,794912559618442"	"0,437773608505316"
"4"	"1"	NA	"7,85907859078591"	"5,42725173210162"	NA	"3,11653116531165"	"2,54041570438799"	NA	"6,14849187935035"	"5,92178770949721"	NA	"2,78422273781903"	"3,79888268156425"	NA	"5,53129548762737"	"5,79150579150579"	NA	"3,20232896652111"	"2,96010296010296"	NA	"52,0434227330779"	"53,68"	NA	"1,02171136653895"	"2,4"	NA	"44,7021943573668"	"54,5787545787546"	NA	"0,815047021943574"	"1,0989010989011"	NA	"58,4638706417383"	"67,9322033898305"	NA	"0,707427993936331"	"0,813559322033898"
"5"	"10"	NA	"5,0561797752809"	"6,00522193211488"	NA	"3,93258426966292"	"5,09138381201044"	NA	"40,2666666666667"	"66,504854368932"	NA	"2,66666666666667"	"3,39805825242718"	NA	"7,38007380073801"	"4,50310559006211"	NA	"3,690036900369"	"3,57142857142857"	NA	"35,83984375"	"27,4666666666667"	NA	"7,12890625"	"12,9333333333333"	NA	"49,6732026143791"	"52,3809523809524"	NA	"10,4575163398693"	"17,4603174603175"	NA	"56,4064801178203"	"66,1843107387662"	NA	"0,736377025036819"	"0,913937547600914"
