"Var.1"	"a-no_1"	"a-no_2"	"a-no_3"	"a_1"	"a_2"	"a_3"	"b-no_1"	"b-no_2"	"b-no_3"	"b_1"	"b_2"	"b_3"	"fis-no_1"	"fis-no_2"	"fis-no_3"	"fis_1"	"fis_2"	"fis_3"	"a-no_1"	"a-no_2"	"a-no_3"	"a_1"	"a_2"	"a_3"	"b-no_1"	"b-no_2"	"b-no_3"	"b_1"	"b_2"	"b_3"	"fis-no_1"	"fis-no_2"	"fis-no_3"	"fis_1"	"fis_2"	"fis_3"
"1"	"0"	"4,06320541760722"	"3,60501567398119"	"3,34448160535117"	"10,7599699021821"	"6,26959247648903"	"10,5351170568562"	"4,06320541760722"	"3,60501567398119"	"3,34448160535117"	"10,7599699021821"	"6,26959247648903"	"10,5351170568562"	"4,06320541760722"	"3,60501567398119"	"3,34448160535117"	"10,7599699021821"	"6,26959247648903"	"10,5351170568562"	"45,5566905005107"	"45,6240290005179"	"41,7193426042984"	"2,40040858018386"	"1,76074572760228"	"2,02275600505689"	"45,5566905005107"	"45,6240290005179"	"41,7193426042984"	"2,40040858018386"	"1,76074572760228"	"2,02275600505689"	"45,5566905005107"	"45,6240290005179"	"41,7193426042984"	"2,40040858018386"	"1,76074572760228"	"2,02275600505689"
"2"	"0,01"	"3,16503391107762"	"4,48807854137447"	"2,77392510402219"	"12,4340617935192"	"7,43338008415147"	"10,8183079056865"	"5,49222797927461"	"3,49854227405248"	"3,03430079155673"	"14,1968911917098"	"7,5801749271137"	"10,1583113456464"	"3,70634354953671"	"5,10204081632653"	"5,72337042925278"	"13,5424091233072"	"6,5597667638484"	"12,4006359300477"	"45,602766798419"	"42,5"	"36,4958886780519"	"2,61857707509881"	"1,66666666666667"	"3,2258064516129"	"46,0194174757282"	"42,3611111111111"	"35,3522053982883"	"3,23624595469256"	"2,19017094017094"	"2,69914417379855"	"44,8563968668407"	"43,3679354094579"	"41,4118954974986"	"2,40208877284595"	"1,73010380622837"	"2,89049471928849"
"3"	"0,1"	"2,87267080745342"	"3,76811594202899"	"3,43074968233799"	"10,6366459627329"	"8,55072463768116"	"10,6734434561626"	"3,41555977229602"	"4,38829787234043"	"3,39805825242718"	"14,2314990512334"	"6,38297872340426"	"10,9223300970874"	"3,44599072233267"	"5,24246395806029"	"4,2674253200569"	"11,2657388999337"	"5,5045871559633"	"10,2418207681366"	"39,5170142700329"	"42,2594142259414"	"35,3361094586556"	"3,45773874862788"	"1,7931858936043"	"2,67697798929209"	"41,5820029027576"	"40,9017713365539"	"36,6"	"1,95936139332366"	"2,03972088030059"	"2,93333333333333"	"45,9447415329768"	"44,3734643734644"	"41,3615560640732"	"2,54010695187166"	"1,67076167076167"	"3,03203661327231"
"4"	"1"	"2,47486465583913"	"3,4375"	"1,91326530612245"	"11,6009280742459"	"7,03125"	"10,969387755102"	"3,90964378801043"	"4,5045045045045"	"2,66666666666667"	"11,120764552563"	"8,10810810810811"	"7,63636363636364"	"3,44142951687624"	"3,08370044052863"	"2,56045519203414"	"10,3904698874917"	"7,48898678414097"	"9,53058321479374"	"27,1835132482826"	"32,563025210084"	"26,6878474980143"	"5,49558390578999"	"2,80112044817927"	"5,16282764098491"	"30,4128053917439"	"39,9088541666667"	"31,5504400812458"	"2,9486099410278"	"1,5625"	"2,5727826675694"	"45,6490727532097"	"45,6511518570757"	"42,6146010186757"	"2,42510699001427"	"1,45745181006112"	"2,65987549518959"
"5"	"10"	"2,69097222222222"	"2,49221183800623"	"3,33889816360601"	"13,4548611111111"	"8,41121495327103"	"10,8514190317195"	"38,8888888888889"	"28,4671532846715"	"57,2072072072072"	"7,56172839506173"	"9,00243309002433"	"4,5045045045045"	"3,74414976599064"	"3,07692307692308"	"4,36681222707424"	"11,7784711388456"	"8,2051282051282"	"9,38864628820961"	"18,0740740740741"	"27,2245762711864"	"15,4037267080745"	"12"	"8,89830508474576"	"13,7888198757764"	"53,0120481927711"	"38,9261744966443"	"44,4444444444444"	"9,63855421686747"	"13,4228187919463"	"9,87654320987654"	"48,5185185185185"	"43,4974283614989"	"39,9591558883594"	"2,16049382716049"	"2,0573108008817"	"3,4717494894486"
