"Var.1"	"A-no_1"	"A-no_2"	"A-no_3"	"A_1"	"A_2"	"A_3"	"B-no_1"	"B-no_2"	"B-no_3"	"B_1"	"B_2"	"B_3"	"fis-no_1"	"fis-no_2"	"fis-no_3"	"fis_1"	"fis_2"	"fis_3"	"A-no_1"	"A-no_2"	"A-no_3"	"A_1"	"A_2"	"A_3"	"B-no_1"	"B-no_2"	"B-no_3"	"B_1"	"B_2"	"B_3"	"fis-no_1"	"fis-no_2"	"fis-no_3"	"fis_1"	"fis_2"	"fis_3"
"1"	"0"	NA	"11,9309262166405"	"11,4854517611026"	NA	"15,6985871271586"	"14,2419601837672"	NA	"11,9309262166405"	"11,4854517611026"	NA	"15,6985871271586"	"14,2419601837672"	NA	"11,9309262166405"	"11,4854517611026"	NA	"15,6985871271586"	"14,2419601837672"	NA	"76,2684124386252"	"81,7493112947658"	NA	"1,6366612111293"	"1,51515151515152"	NA	"76,2684124386252"	"81,7493112947658"	NA	"1,6366612111293"	"1,51515151515152"	NA	"76,2684124386252"	"81,7493112947658"	NA	"1,6366612111293"	"1,51515151515152"
"2"	"0,01"	NA	"18,21608040201"	"13,7384412153236"	NA	"13,5678391959799"	"13,4742404227213"	NA	"15,8415841584158"	"16,2162162162162"	NA	"13,2956152758133"	"12,7413127413127"	NA	"15,7746478873239"	"11,8219749652295"	NA	"13,5211267605634"	"13,769123783032"	NA	"74,366529169122"	"77,8814123917388"	NA	"2,29817324690631"	"1,79880079946702"	NA	"73,0343300110742"	"77,5689223057644"	NA	"2,71317829457364"	"1,56641604010025"	NA	"73,5483870967742"	"78,3909574468085"	NA	"1,87096774193548"	"1,66223404255319"
"3"	"0,1"	NA	"15,5907429963459"	"13,2752992383025"	NA	"12,1802679658952"	"16,7573449401523"	NA	"16,1407766990291"	"13,7231503579952"	NA	"12,7427184466019"	"13,4844868735084"	NA	"13,3074935400517"	"11,0546378653113"	NA	"13,0490956072351"	"14,2312579415502"	NA	"68,8583383144053"	"73,1517509727626"	NA	"2,57023311416617"	"1,42671854734112"	NA	"69,7769953051643"	"77,4748923959828"	NA	"1,87793427230047"	"2,15208034433285"	NA	"72,7609962904081"	"77,4233896185116"	NA	"1,8018018018018"	"1,06316447779862"
"4"	"1"	NA	"17,6151761517615"	"15,1270207852194"	NA	"13,1436314363144"	"12,933025404157"	NA	"13,5730858468677"	"13,7430167597765"	NA	"13,5730858468677"	"13,9664804469274"	NA	"15,2838427947598"	"13,2561132561133"	NA	"14,410480349345"	"15,7014157014157"	NA	"68,1353767560664"	"67,84"	NA	"2,55427841634738"	"4,8"	NA	"64,9529780564263"	"69,5970695970696"	NA	"2,5705329153605"	"2,63736263736264"	NA	"72,3092470944922"	"79,728813559322"	NA	"1,92016169782719"	"1,83050847457627"
"5"	"10"	NA	"13,7640449438202"	"14,490861618799"	NA	"13,061797752809"	"12,6631853785901"	NA	"54,1333333333333"	"77,1844660194175"	NA	"8,53333333333333"	"5,33980582524272"	NA	"15,1291512915129"	"11,1801242236025"	NA	"12,9151291512915"	"13,1987577639752"	NA	"50,1953125"	"39,2"	NA	"13,8671875"	"23,0666666666667"	NA	"60,1307189542484"	"61,9047619047619"	NA	"13,7254901960784"	"19,047619047619"	NA	"71,5022091310751"	"77,989337395278"	NA	"2,28276877761414"	"1,9040365575019"
